tweets,date,Company,url
"@dglennon20 @cleantechgroup We currently do not have a set release date, but we are working hard to bring the best product to market as soon as possible. We are not taking individual investments at this time but we greatly appreciate your interest &amp; support.",2020-12-17 21:54:26,Memphis Meats,https://twitter.com/MemphisMeats/status/1339690441286021125
@davisriguy @UmaValeti The goal is to create a system that doesn't require us to go back to the animal.,2020-12-08 19:50:22,Memphis Meats,https://twitter.com/MemphisMeats/status/1336397730562838528
"@ellidilorenzo @SciencEric @UmaValeti We don't have a set release date but are doing our very best to make a delicious quality product for everyone's table as soon as we can. Stay tuned for updates. 
CC: @jaygelliott",2020-11-19 22:32:48,Memphis Meats,https://twitter.com/MemphisMeats/status/1329553239705051142
"@ronviers @UmaValeti CC: @MeatBrave , @bigkingfisher07 AMPS Innovation &amp; @MeatInstitute wrote a letter to the FDA &amp; USDA for regulation in labeling. You can read more about it here: https://t.co/xuntuDZQSr",2020-10-20 14:43:45,Memphis Meats,https://twitter.com/MemphisMeats/status/1318563563305340928
@nj4mwc @UmaValeti @wendyzuk @sciencevs We don't have an exact launch date yet but are making steps toward bringing the very best product to market. Please stay tuned for updates.,2020-10-16 15:33:13,Memphis Meats,https://twitter.com/MemphisMeats/status/1317126459127902209
"@shauny We don't have an exact launch date, yet but are making steps toward bringing a phenomenal product to market. We're pleased to be working on an accelerated timeline, so stay tuned for updates!",2020-08-28 02:42:30,Memphis Meats,https://twitter.com/MemphisMeats/status/1299175497423826944
"@TheRealHarilton @SciencEric @UmaValeti This is conventional meat that our team member prepared independently, but we're working toward the day when cell-based meat will be an option for a wide variety of delicious recipes.",2020-06-24 19:40:50,Memphis Meats,https://twitter.com/MemphisMeats/status/1275876558473965571
"@voyagevixen We want the best for our pets too! Right now we're focused on scaling sustainable food for humans, but if we plan on producing high-quality pet food made with cell-based meats, we'll be sure to announce it.",2020-05-12 17:40:33,Memphis Meats,https://twitter.com/MemphisMeats/status/1260263606869950470
"@katedaviscomic So glad you were able to tune in! We don't have an exact launch date yet but are making rapid steps toward bringing the very best product to market. We're still working on an accelerated timeline, so watch for updates.",2020-05-12 17:32:50,Memphis Meats,https://twitter.com/MemphisMeats/status/1260261668413681665
"Thanks to audience interest, we're moving @SciencEric's livestream to a later date in May to allow for more in-depth discussion - stay tuned.",2020-05-08 17:36:52,Memphis Meats,https://twitter.com/MemphisMeats/status/1258813129179398146
